id,kind,qa_id,path_id,question,reference_answer,model_answer,exact_match,token_f1,rouge_l,refusal,empty,invalid,answer_words,latency_ms,failure_category,error
"exact_11","exact_sft","qa_000664","direct_notebook_chat","Quick one: which teaching labs mention Windows Active Directory, Windows 10, or direct Internet access?","MM1, MM2, MM3, MM4, MM6, and the Postgraduate Lab are connected to Windows Active Directory servers and the Internet, while Stroustrup Lab 1 and Stroustrup Lab 2 are described as Internet-connected labs. Windows 10 is specifically mentioned for MM1, MM2, MM6, and Stroustrup Lab 1.","The teaching labs at the Faculty of Computer Science and Information Technology, Universiti Malaya, that mention Windows Active Directory, Windows 10, or direct Internet access are: - Lab 101 - Lab 102 - Lab 103 - Lab 104 - Lab 105 - Lab 106 - Lab 107 - Lab 108 - Lab 109 - Lab 110 These labs are specified in the Faculty's Computing Facilities Handbook as providing the mentioned technologies.","0","0.3333","0.1852","false","false","false","62","2727","fail_low_f1",""
"exact_12","exact_sft","qa_000795","direct_notebook_chat","Could you tell me what admission background or entry qualifications are described for Master of Computer Science (By Research)?","The handbook describes the admission background and entry qualifications for the programme, focusing on the applicant's prior computing-related academic preparation and the faculty's programme admission criteria.","The Master of Computer Science (By Research) programme at the Faculty of Computer Science and Information Technology, Universiti Malaya requires applicants to hold a relevant bachelor's degree with a minimum Second Class Upper (2A) or equivalent. Applicants must also demonstrate research potential through a statement of purpose, academic transcripts, and letters of recommendation. Additionally, a research proposal aligned with the faculty's research areas is required.","0","0.2083","0.1875","false","false","false","67","2048","fail_low_f1",""
"exact_13","exact_sft","qa_000907","direct_notebook_chat","Quick one: what's the role of university courses within the shared undergraduate curriculum?","Within the shared undergraduate curriculum, the university courses provide common institutional and general-education requirements that all students complete alongside faculty and programme-specific courses.","University courses within the shared undergraduate curriculum provide foundational knowledge and skills that are common to all students, regardless of their chosen major or program. These courses ensure a broad-based education, promote interdisciplinary understanding, and support the development of critical thinking, communication, and analytical skills. They also contribute to fulfilling the university's educational mission by fostering a well-rounded academic experience.","0","0.3864","0.25","false","false","false","63","1886","fail_low_f1",""
"exact_14","exact_sft","qa_000694","direct_notebook_chat","Ngl, how is Internet access in the faculty building described for students?","Wi-Fi Internet access is provided to students on every floor in each building, and students must follow the rules and regulations for using these facilities.","The faculty building provides wired and wireless Internet access throughout the premises, including classrooms, laboratories, and common areas, to support academic and research activities for students and staff.","0","0.3333","0.2222","false","false","false","28","1281","fail_low_f1",""
"exact_15","exact_sft","qa_000218","direct_notebook_chat","What academic or administrative conditions are highlighted under candidature requirements for Master of Software Engineering (Software Technology)?","The candidature requirements include Fulfil the minimum candidature duration of 4 semesters.; Fulfil the University language requirement (Bahasa Malaysia and English) not later than the second (2nd) semester of candidature.; Fulfil the residential requirement of 6 months.; Proposal Defence at the beginning of the research component registration.; Present research progress in a Candidature Defence session as required by the Faculty.","The candidature requirements for the Master of Software Engineering (Software Technology) at the Faculty of Computer Science and Information Technology, Universiti Malaya, highlight the following academic and administrative conditions: 1. A bachelor’s degree with a minimum Second Class Honours (Upper Division) or equivalent in a relevant discipline. 2. Relevant work experience in software engineering or a related field, where applicable. 3. Submission of a research proposal outlining the intended area of study. 4. Proof of English language proficiency, where required. 5. Completion of all pre-requisite courses, if applicable. 6. Compliance with the Faculty’s academic regulations, including attendance and coursework requirements.","0","0.319","0.1963","false","false","false","103","2938","fail_low_f1",""
"exact_16","exact_sft","qa_000371","direct_notebook_chat","How are plagiarism checking and originality expectations enforced in the academic project?","Students are expected to produce original work and that plagiarism in the academic project may result in disciplinary action under the University of Malaya rules.","Plagiarism checking and originality expectations in academic projects at the Faculty of Computer Science and Information Technology, Universiti Malaya, are enforced through the use of plagiarism detection software such as Turnitin. All submitted academic projects are subjected to plagiarism checks as part of the assessment process. Originality is expected to be maintained through proper citation and acknowledgment of sources, in accordance with the university's academic integrity policies. Any instance of plagiarism is dealt with according to the university's guidelines on academic misconduct.","0","0.2385","0.1651","false","false","false","84","2341","fail_low_f1",""
"exact_17","exact_sft","qa_000387","direct_notebook_chat","What policy links, regulations, or university rule documents are referenced for undergraduate students?","The undergraduate rules section refers students to the University of Malaya Bachelor's Degree rules and regulations, together with related university policy and administrative references.","The following policy links, regulations, or university rule documents are referenced for undergraduate students at Universiti Malaya: 1. **University Regulation 2020** – Governs general academic policies, including admission, registration, and degree requirements. 2. **Academic Regulations** – Outlines specific academic policies such as credit hours, grading systems, and academic calendar. 3. **Student Handbook** – Provides comprehensive information on student rights, responsibilities, and conduct. 4. **Code of Conduct for Students** – Details behavioural expectations and disciplinary procedures. 5. **Policy on Academic Integrity** – Addresses issues related to plagiarism, cheating, and other forms of academic misconduct. 6. **Policy on Withdrawal and Leave of Absence** – Governs procedures for withdrawing from courses or taking a leave of","0","0.2121","0.1364","false","false","false","107","3318","fail_low_f1",""
"exact_18","exact_sft","qa_000170","direct_notebook_chat","What facilities and research focus are described for the Robotedge AI Robotic Lab?","The Robotedge AI Robotic Lab, previously known as the Natural Language Processing Lab, is equipped for AI robotics research and development, especially in environmental, home services, and search-and-rescue areas.","The Robotedge AI Robotic Lab is equipped with state-of-the-art facilities including advanced robotics workstations, sensor integration systems, and high-performance computing resources. The lab's research focus includes AI-driven robotic systems, autonomous navigation, human-robot interaction, and intelligent control mechanisms.","0","0.3733","0.2667","false","false","false","44","1638","fail_low_f1",""
"exact_19","exact_sft","qa_000381","direct_notebook_chat","What dress expectations are illustrated for official events?","For official events, the poster illustrates formal attire, including suit-style clothing and traditional formal wear, to convey a neat and official appearance appropriate for formal university occasions.","The handbook specifies that for official events, attire should be formal and professional, typically consisting of a suit or equivalent smart clothing, with conservative and modest styling. Specific guidelines may vary depending on the nature of the event, but generally, men are expected to wear tailored suits and dress shirts, while women are expected to wear business suits or elegant dresses. Accessories and footwear should be appropriate and conservative.","0","0.2887","0.2268","false","false","false","69","2006","fail_low_f1",""
"exact_20","exact_sft","qa_000862","direct_notebook_chat","Hey, is Bachelor of Computer Science (Artificial Intelligence) listed among the undergraduate programmes offered by the faculty?","Yes. Bachelor of Computer Science (Artificial Intelligence) is listed among the faculty's six undergraduate programmes.","Yes, the Bachelor of Computer Science (Artificial Intelligence) is listed among the undergraduate programmes offered by the Faculty of Computer Science and Information Technology, Universiti Malaya.","0","0.6667","0.619","false","false","false","26","1314","partial_low_f1",""
"exact_21","exact_sft","qa_000658","direct_notebook_chat","Real quick, what facilities and student access are described for Micro Lab 4 (MM4)?","Micro Lab 4 (MM4) has 60 computer units connected to Windows Active Directory servers and the Internet, and it is open to undergraduate and postgraduate students.","Micro Lab 4 (MM4) provides access to microprocessor development tools, including programmable logic devices, breadboards, and oscilloscopes. It is equipped for hands-on experimentation with microcontroller-based systems and digital circuit design. Student access is restricted to registered users with valid lab schedules.","0","0.2899","0.2609","false","false","false","43","1709","fail_low_f1",""
"exact_22","exact_sft","qa_000472","direct_notebook_chat","Could you list the programme goals, objectives, or learning outcomes for Master of Artificial Intelligence?","The programme educational objectives focus on applying artificial intelligence techniques both theoretically and practically, contributing AI skills to sustainable development and societal well-being, and demonstrating professional attitudes and ethics in producing science and technology solutions. The learning outcomes emphasise mastery of AI knowledge, recommending innovative AI solutions, evaluating AI tools for usability and effectiveness, communicating and presenting technical materials, using tools and techniques to design and validate AI-related knowledge, leadership and teamwork, lifelong learning with an entrepreneurial mindset, and professional ethics in research and service.","The **Master of Artificial Intelligence** programme at the Faculty of Computer Science and Information Technology, Universiti Malaya, aims to equip students with advanced knowledge and practical skills in artificial intelligence (AI) and its applications. The programme goals, objectives, and learning outcomes are as follows: ### **Programme Goals:** 1. To provide advanced theoretical and practical training in AI and related technologies. 2. To develop research and analytical skills in AI applications. 3. To prepare graduates for careers in AI research, development, and innovation. ### **Programme Objectives:** 1. To enable students to understand and apply advanced concepts in AI, machine learning, and computational intelligence. 2. To foster critical thinking and problem-solving skills in AI-related challenges. 3. To promote interdisciplinary knowledge integration between AI and","0","0.3923","0.2201","false","false","false","122","3287","fail_low_f1",""
"exact_23","exact_sft","qa_000962","direct_notebook_chat","Could you tell me what deliverables are required for Academic Project I besides the written report?","Besides the written report, Academic Project I requires project-progress documentation and submission materials through the ilmiah system for monitoring, including items such as the progress logbook and presentation materials when required by the process.","The deliverables required for Academic Project I, besides the written report, include: - A project proposal - A progress report - A presentation - A binding portfolio - A peer evaluation form - A reflection journal","0","0.4","0.2154","false","false","false","30","1494","fail_low_f1",""
"exact_24","exact_sft","qa_000955","direct_notebook_chat","Real quick, what implementation, development, or completion requirements apply in Academic Project II?","Academic Project II focuses on implementation and completion. The report extends Academic Project I by including detailed system analysis and design, system development, results and discussion, strengths, limitations and future work, together with the completed report structure such as abstract, introduction, references, appendices, and acknowledgment.","The implementation, development, or completion requirements for Academic Project II include the submission of a project report, presentation, and a working prototype or deliverable as specified in the course handbook. The project must demonstrate application of knowledge and skills acquired in the program.","0","0.2955","0.1818","false","false","false","43","1560","fail_low_f1",""
"exact_25","exact_sft","qa_000105","direct_notebook_chat","What is the process flow for Academic Project II?","The handbook presents Academic Project as a staged process covering topic or title approval, supervision, progress monitoring, submission through the ilmiah system, viva or evaluation sessions, and final report completion across Academic Project I and Academic Project II.","The process flow for Academic Project II involves the following steps: 1. Project proposal submission. 2. Approval by the supervisor and department. 3. Conducting the project research and development. 4. Regular progress meetings with the supervisor. 5. Submission of the final report and presentation. 6. Evaluation and feedback from the supervisor and panel. 7. Final approval and certification.","0","0.3333","0.2292","false","false","false","58","2058","fail_low_f1",""
"paraphrase_01","paraphrase","qa_000938","direct_notebook_chat","Please explain this handbook question: Could you tell me what leave, absence, or emergency procedures are described during industrial training?","Leave taken during Industrial Training usually has to be replaced unless the company states that replacement is not possible. Approved sick leave does not need to be replaced, but the medical certificate and the company supervisor's approval must be included in the logbook.","The handbook states that during industrial training, students must notify their institution immediately in case of any leave, absence, or emergency. Students are required to provide a written explanation and obtain approval from the Industrial Training Office before taking any leave. In case of emergencies, students should inform their supervisor and the Industrial Training Office as soon as possible.","0","0.3301","0.1748","false","false","false","59","1806","fail_low_f1",""
"paraphrase_02","paraphrase","qa_000744","direct_notebook_chat","In simple terms, could you tell me what graduate capabilities or professional strengths does Master of Software Engineering (Software Technology) aim to develop?","The programme is designed to develop advanced software engineering knowledge, strong real-world problem-solving ability, capability in designing, building, verifying, validating, and managing quality software systems, mathematical and analytical competence across the software development life cycle, teamwork and communication skills, leadership, innovation, and professional ethics.","The Master of Software Engineering (Software Technology) aims to develop graduate capabilities in software design, development, and management, with a focus on advanced programming, software architecture, and technology innovation. It also emphasizes problem-solving, analytical thinking, and professional ethics in software engineering practice.","0","0.427","0.2697","false","false","false","43","1626","fail_low_f1",""
"paraphrase_03","paraphrase","qa_000747","direct_notebook_chat","For a student, could you tell me what academic or administrative conditions are highlighted under candidature requirements for Master of Software Engineering (Software Technology)?","The candidature requirements include Fulfil the minimum candidature duration of 4 semesters.; Fulfil the University language requirement (Bahasa Malaysia and English) not later than the second (2nd) semester of candidature.; Fulfil the residential requirement of 6 months.; Proposal Defence at the beginning of the research component registration.; Present research progress in a Candidature Defence session as required by the Faculty.","The candidature requirements for the Master of Software Engineering (Software Technology) at the Faculty of Computer Science and Information Technology, Universiti Malaya, highlight the following academic and administrative conditions: 1. A bachelor's degree with a minimum Second Class Honours (Upper Division) or equivalent in a relevant discipline. 2. Relevant work experience may be considered in lieu of a degree, subject to approval. 3. Proficiency in English, demonstrated through a minimum IELTS score of 6.0 (with no band below 5.5) or equivalent. 4. Submission of a research proposal or statement of purpose outlining the intended area of study. 5. Approval of the proposed research topic by the supervisory panel. 6. Maintenance of satisfactory academic progress as defined in the Faculty's candidature guidelines","0","0.3351","0.227","false","false","false","125","3314","fail_low_f1",""
"paraphrase_04","paraphrase","qa_000004","direct_notebook_chat","Could you summarize this: What is the academic calendar for master and doctorate level in session 2025/2026?","The 2025/2026 master and doctorate academic calendar with Semester I, Semester II, and a special semester, covering orientation, lecture periods, mid-semester breaks, revision weeks, final examinations, and semester breaks. Semester I: Orientation (WOW) 05.10.2025-12.10.2025; lectures 13.10.2025-23.11.2025 and 01.12.2025-25.01.2026; mid-semester break 24.11.2025-30.11.2025; revision week 26.01.2026-01.02.2026; final examination 02.02.2026-22.02.2026; semester break 23.02.2026-08.03.2026. Semester II: lectures 09.03.2026-26.04.2026 and 04.05.2026-21.06.2026; break 27.04.2026-03.05.2026; revision week 22.06.2026-28.06.2026; final examination 29.06.2026-19.07.2026; semester break 20.07.2026-16.08.2026. Special semester: lectures 27.07.2026-13.09.2026; final examination 14.09.2026-20.09.2026; break 21.09.2026-28.09.2026. Public holidays listed include Deepavali, Christmas, New Year, Thaipusam, Federal Territory Day, Chinese New Year, Nuzul Al-Quran, Eidul Fitri, Labour Day, Eidul Adha, Wesak Day, His Majesty the King's Birthday, Awal Muharram, Prophet Muhammad's Birthday, National Day, and Malaysia Day. The notes state that the module registration and examination schedule can be referred to in the UM system guide, the calendar is subject to change, and UM PG iFest 2026 is scheduled for 09-11 June 2026.","The academic calendar for master and doctorate levels in the 2025/2026 session at the Faculty of Computer Science and Information Technology, Universiti Malaya, follows the standard semester system, with two semesters per academic year: Semester I (August–December) and Semester II (January–June). Specific dates for course registration, examinations, and other academic activities are announced annually in the official academic calendar.","0","0.1927","0.1063","false","false","false","62","2148","fail_low_f1",""
"paraphrase_05","paraphrase","qa_000916","direct_notebook_chat","What should I know about this handbook topic: Hey, what elective focus areas are represented under specialization elective courses - computer system and network?","The specialization elective section is intended to show the elective pool available for that track. Students should use it as a selection list of approved elective options, checking the course code, title, credits, and semester/level planning shown in the curriculum table before choosing courses.","The specialization elective courses in Computer System and Network include focus areas such as Distributed Systems, Network Security, Cloud Computing, and High Performance Computing. These electives are designed to provide in-depth knowledge and skills in specific domains within computer systems and networks.","0","0.1818","0.1364","false","false","false","43","1574","fail_low_f1",""
"paraphrase_06","paraphrase","qa_000165","direct_notebook_chat","Please explain this handbook question: What is stated about the VLSI Research Lab and its access conditions?","The VLSI Research Lab is located on the second floor of Block B as an open-concept lab restricted to students from a specific field. All students can use its space and facilities with permission.","The handbook states that the VLSI Research Lab is available for use by registered students and faculty members of the Faculty of Computer Science and Information Technology, Universiti Malaya. Access to the lab is subject to prior approval from the lab supervisor and adherence to the lab's rules and regulations.","0","0.3023","0.2558","false","false","false","51","1690","fail_low_f1",""
"paraphrase_07","paraphrase","qa_000453","direct_notebook_chat","In simple terms, real quick, what courses and course contents are listed for Master of Software Engineering (Software Technology)?","The listed core courses are WOX7001 Research Methodology, WOC7004 Architecting Software Systems, WOC7014 Framework Based Software Design and Development, WOC7015 Software Verification and Validation, WOC7016 Software Project Management, and dissertation components. The elective list includes WOC7017 Big Data Processing, WOC7018 Requirements Engineering, WOC7019 User Experience Design Studio, WOC7020 Advanced Internet of Things, WOA7015 Advanced Machine Learning, and WOA7017 Security Risk Analysis and Evaluation. The handbook also includes important dissertation rules on eligibility, repeat registration until completion, and supervisor appointment.","The Master of Software Engineering (Software Technology) program at Universiti Malaya includes courses such as Software Engineering Principles, Software Requirements Engineering, Software Design and Architecture, Software Testing and Quality Assurance, Software Project Management, and Software Engineering Research Methods. The course content focuses on software development lifecycle, software architecture, quality assurance, and research methodologies in software engineering.","0","0.3111","0.237","false","false","false","56","1871","fail_low_f1",""
"paraphrase_08","paraphrase","qa_000939","direct_notebook_chat","For a student, could you explain how are placements approved or verified by the faculty before industrial training begins?","Before training begins, students must attend the required briefing and preparatory workshops, choose one placement, obtain an offer letter that states the training dates, general tasks, and department placement, email that offer letter to the Industrial Training Department Coordinator for approval, and register the internship placement in Maya and the career portal with the required documents.","According to the Faculty of Computer Science and Information Technology, Universiti Malaya (FKT, UM), placements for industrial training are approved and verified through the following process: 1. The student submits a placement proposal, including the name of the organisation, position, and duration of the training. 2. The proposal is reviewed and approved by the Industrial Training Office (ITO) in collaboration with the student’s programme coordinator. 3. The organisation must be pre-approved by the Faculty, ensuring it meets the academic and ethical standards set by the Faculty. 4. A formal agreement is signed between the student, the organisation, and the Faculty. 5. Before the training begins, the student must submit proof of placement confirmation from the organisation to the ITO for final verification.","0","0.2667","0.1667","false","false","false","124","3194","fail_low_f1",""
"paraphrase_09","paraphrase","qa_001006","direct_notebook_chat","Could you summarize this: So basically, how can students interpret their results using the official university grading scheme?","Students interpret their results by referring to the official grading table, which links the marks obtained to a grade, a grade point, and the corresponding academic interpretation.","Students should refer to the official university grading scheme provided in the academic handbook to interpret their results. Each grade corresponds to a specific range of marks, and the description of each grade outlines the level of performance expected. Students should match their obtained marks to the relevant grade descriptor to understand their academic achievement.","0","0.439","0.2927","false","false","false","55","1705","fail_low_f1",""
"paraphrase_10","paraphrase","qa_000963","direct_notebook_chat","What should I know about this handbook topic: Could you tell me what deliverables are required for Academic Project II besides the written report?","Besides the written report, Academic Project II requires project-progress documentation and submission materials through the ilmiah system for viva and final assessment, including items such as the progress logbook, presentation materials, and other required project submissions.","The deliverables required for Academic Project II, besides the written report, include the project proposal, progress report, oral presentation, and a working prototype or product.","0","0.4839","0.2903","false","false","false","25","1270","fail_low_f1",""
"paraphrase_11","paraphrase","qa_000664","direct_notebook_chat","Please explain this handbook question: Quick one: which teaching labs mention Windows Active Directory, Windows 10, or direct Internet access?","MM1, MM2, MM3, MM4, MM6, and the Postgraduate Lab are connected to Windows Active Directory servers and the Internet, while Stroustrup Lab 1 and Stroustrup Lab 2 are described as Internet-connected labs. Windows 10 is specifically mentioned for MM1, MM2, MM6, and Stroustrup Lab 1.","The teaching labs that mention Windows Active Directory, Windows 10, or direct Internet access are Lab 1, Lab 2, and Lab 3.","0","0.4412","0.3235","false","false","false","22","1273","fail_low_f1",""
"paraphrase_12","paraphrase","qa_000795","direct_notebook_chat","In simple terms, could you tell me what admission background or entry qualifications are described for Master of Computer Science (By Research)?","The handbook describes the admission background and entry qualifications for the programme, focusing on the applicant's prior computing-related academic preparation and the faculty's programme admission criteria.","The admission background or entry qualifications for the Master of Computer Science (By Research) require a bachelor's degree with a major in computer science or a closely related field, typically with a minimum second-class upper division (2:1) or equivalent. Applicants must also demonstrate research potential through a statement of purpose and letters of recommendation. International applicants must meet the English language proficiency requirements, usually a minimum IELTS score of 6.5 or equivalent.","0","0.2095","0.2095","false","false","false","76","2190","fail_low_f1",""
"paraphrase_13","paraphrase","qa_000907","direct_notebook_chat","For a student, quick one: what's the role of university courses within the shared undergraduate curriculum?","Within the shared undergraduate curriculum, the university courses provide common institutional and general-education requirements that all students complete alongside faculty and programme-specific courses.","University courses within the shared undergraduate curriculum provide foundational knowledge and skills that are common to all students, regardless of their major or program. These courses ensure a broad educational base, promote interdisciplinary understanding, and support the development of critical thinking, communication, and analytical abilities.","0","0.4571","0.3143","false","false","false","45","1585","fail_low_f1",""
"paraphrase_14","paraphrase","qa_000694","direct_notebook_chat","Could you summarize this: Ngl, how is Internet access in the faculty building described for students?","Wi-Fi Internet access is provided to students on every floor in each building, and students must follow the rules and regulations for using these facilities.","The handbook states that Internet access in the Faculty of Computer Science and Information Technology building is provided through a wired and wireless network, ensuring reliable connectivity for students and staff.","0","0.386","0.2456","false","false","false","31","1284","fail_low_f1",""
